city,country,lat,lon,temp,temp_max,windspeed,cloudall,humidity
adamas,GR,36.7333,24.4333,65.62,65.62,3.74,9,80
zhangye,CN,38.9342,100.4517,37.44,37.44,2.95,0,25
aksarka,RU,66.5606,67.7975,28.42,28.42,12.01,23,70
kysyl-syr,RU,63.8986,122.7617,33.84,33.84,11.72,100,97
mogadishu,SO,2.0371,45.3438,78.21,78.21,11.05,51,89
dingle,PH,10.9995,122.6711,74.66,74.66,8.97,100,96
tarare,FR,45.8976,4.4327,50.59,53.13,1.01,51,89
nikolskoye,RU,59.7035,30.7861,51.49,52.88,5.35,98,84
saint-philippe,RE,-21.3585,55.7679,69.35,71.19,14.92,44,86
porto belo,BR,-27.1578,-48.5531,65.73,68.16,10.33,100,49
glendive,US,47.1053,-104.7125,51.49,55.96,12.66,90,90
port hedland,AU,-20.3167,118.5667,66.25,66.25,8.05,0,42
barreirinhas,BR,-2.7469,-42.8264,80.8,80.8,8.3,91,79
shimoda,JP,34.6667,138.95,66.11,66.11,10.4,74,87
merzifon,TR,40.8733,35.4631,53.06,53.06,3.44,0,82
katsuura,JP,35.1333,140.3,69.67,70.2,2.84,36,83
broome,US,42.2506,-75.833,63.16,66.83,1.01,90,69
garden city,US,42.3256,-83.331,74.23,77.49,10.36,75,63
kathu,TH,7.9178,98.3332,84.69,84.69,17.78,99,95
mira,IT,45.4358,12.1348,53.29,56.88,11.5,0,64
barra do corda,BR,-5.5,-45.25,83.1,83.1,4.32,100,60
oxbow,CA,49.2333,-102.1676,53.64,60.75,10.42,100,58
mersing,MY,2.4312,103.8405,78.71,78.71,4.61,99,94
carballo,ES,43.213,-8.691,59.11,63.01,8.01,59,86
talnakh,RU,69.4865,88.3972,15.1,15.1,9.51,49,93
atar,MR,20.5169,-13.0499,91.96,91.96,7.99,100,14
gunib,RU,42.3876,46.9651,42.89,42.89,2.93,42,62
bandarbeyla,SO,9.4942,50.8122,78.12,78.12,18.07,88,82
ninotsminda,GE,41.2646,43.5916,32.45,32.45,4.99,0,67
kimbe,PG,-5.5502,150.1429,80.31,80.31,2.57,100,84
taksimo,RU,56.3444,114.8794,31.17,31.17,2.3,86,74
sakakah,SA,29.9697,40.2064,81.97,81.97,10.65,0,17
saint-joseph,RE,-21.3667,55.6167,68.7,70.18,13.47,38,82
el alto,PE,-4.2714,-81.2147,67.66,67.66,16.89,93,77
adolfo lopez mateos,MX,28.4667,-107.3,80.92,80.92,17.47,0,23
axim,GH,4.8699,-2.2405,78.28,78.28,8.61,100,88
jibuti,DJ,11.5,42.5,81.82,81.82,15.59,96,67
rodrigues alves,BR,-7.738,-72.6509,75.4,75.4,2.06,95,70
